1: Empresa  Sobre Nome Funcao
2: EmpresaA Bedecs Anna Proprietario
3: EmpresaB Gratacos Antonio Proprietario
4: EmpresaC Axen Thomas Compras
5: EmpresaD Lee Christina Gerente
6: EmpresaE ODonnell Martin Proprietario
7: EmpresaF PrezOlaeta Francisco Gerente
8: EmpresaG Xie Ming-Yang Proprietario
9: EmpresaH Andersen Elizabeth Representante
10: EmpresaI Mortensen Sven Compras
11: EmpresaJ Wacker Roland Compras
12: EmpresaK Krschne Peter Gerente
13: EmpresaL Edwards John Gerente
14: EmpresaM Ludick Andre Representante
15: EmpresaN Grilo Carlos Representante
16: EmpresaO Kupkova Helena Gerente 
17: EmpresaP Goldschmidt Daniel Representante 
18: EmpresaQ Bagel Jean Proprietario
19: EmpresaR Autier Catherine Representante 
20: EmpresaS Eggerer Alexander Contabilidade
21: EmpresaT Li George Gerente
22: EmpresaU Tham Bernard Gerente 
23: EmpresaV Ramos Luciana Assistente
24: EmpresaW Entin Michael Gerente
25: EmpresaX Hasselberg Jonas Proprietario
26: EmpresaY Rodman	John Gerente
27: EmpresaZ Liu Run Assistente
28: EmpresaAA Toh Karen Gerente
29: EmpresaBB Raghav Amritansh Gerente
30: EmpresaCC Lee Soo Gerente
31: EmpresaCC Lee Soo Gerente
