0: Funcao Sobre Nome Empresa 
1: Proprietario Bedecs Anna EmpresaA 
2: Proprietario Gratacos Antonio EmpresaB 
3: Compras Axen Thomas EmpresaC 
4: Gerente Lee Christina EmpresaD 
5: Proprietario ODonnell Martin EmpresaE 
6: Gerente PrezOlaeta Francisco EmpresaF 
7: Proprietario Xie Ming-Yang EmpresaG 
8: Representante Andersen Elizabeth EmpresaH 
9: Compras Mortensen Sven EmpresaI 
10: Compras Wacker Roland EmpresaJ 
11: Gerente Krschne Peter EmpresaK 
12: Gerente Edwards John EmpresaL 
13: Representante Ludick Andre EmpresaM 
14: Representante Grilo Carlos EmpresaN 
15: Gerente Kupkova Helena EmpresaO 
16: Representante Goldschmidt Daniel EmpresaP 
17: Proprietario Bagel Jean EmpresaQ 
18: Representante Autier Catherine EmpresaR 
19: Contabilidade Eggerer Alexander EmpresaS 
20: Gerente Li George EmpresaT 
21: Gerente Tham Bernard EmpresaU 
22: Assistente Ramos Luciana EmpresaV 
23: Gerente Entin Michael EmpresaW 
24: Proprietario Hasselberg Jonas EmpresaX 
25: Gerente Rodman John EmpresaY 
26: Assistente Liu Run EmpresaZ 
27: Gerente Toh Karen EmpresaAA 
28: Gerente Raghav Amritansh EmpresaBB 
29: Gerente Lee Soo EmpresaCC 
30: Gerente Lee Soo EmpresaCC 
